No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes,No_of_Votes
sum,min,max,mean,count
57428,57428,57428,57428.0,1
113314,113314,113314,113314.0,1
88794,88794,88794,88794.0,1
41985,41985,41985,41985.0,1
154107,53054,101053,77053.5,2
81156,81156,81156,81156.0,1
206857,46865,159992,103428.5,2
77881,30205,47676,38940.5,2
57318,57318,57318,57318.0,1
376614,65341,167839,125538.0,3
67429,25312,42117,33714.5,2
165255,30683,78991,55085.0,3
120658,26642,94016,60329.0,2
125975,30580,51853,41991.666666666664,3
217881,217881,217881,217881.0,1
33829,33829,33829,33829.0,1
149738,47175,55163,49912.666666666664,3
838816,26725,371379,167763.2,5
646980,28450,203150,92425.71428571429,7
552279,148928,403351,276139.5,2
617109,29915,522093,205703.0,3
59556,59556,59556,59556.0,1
243774,26471,143525,60943.5,4
69150,33549,35601,34575.0,2
662153,27991,405801,132430.6,5
74409,32784,41625,37204.5,2
486611,28167,146427,81101.83333333333,6
223023,29807,158731,74341.0,3
554100,26784,201632,110820.0,5
401887,31568,123341,80377.4,5
419319,34677,218957,104829.75,4
329417,43374,127256,65883.4,5
1177989,58314,444074,196331.5,6
322433,26464,83363,53738.833333333336,6
304492,34075,81702,60898.4,5
1559337,28137,689845,173259.66666666666,9
542658,34797,364368,135664.5,4
1012471,28421,299198,144638.7142857143,7
1259971,26542,604211,114542.81818181818,11
449320,27007,166544,89864.0,5
1032621,26457,293811,79432.38461538461,13
608359,34357,224730,121671.8,5
1143716,35999,450474,163388.0,7
556983,48883,232772,139245.75,4
1048278,31222,688390,149754.0,7
972554,27733,253676,97255.4,10
1494247,29003,603517,186780.875,8
380413,77401,201888,126804.33333333333,3
166146,27067,93741,55382.0,3
1403192,30144,757904,155910.22222222222,9
2014550,30206,1620367,251818.75,8
1206420,25229,362393,100535.0,12
1818874,26729,1129952,303145.6666666667,6
2520165,36037,918088,280018.3333333333,9
1640557,39889,724636,234365.2857142857,7
1668262,184966,1231473,556087.3333333334,3
843024,26875,311361,120432.0,7
2512459,27014,787806,209371.58333333334,12
3076848,32195,1159315,384606.0,8
1310205,27650,884112,327551.25,4
2284564,31595,693827,207687.63636363635,11
1920444,39881,950470,384088.8,5
2345834,51585,799795,260648.22222222222,9
2203723,47102,1058081,244858.11111111112,9
2267190,47834,652719,251910.0,9
2578584,31163,675146,214882.0,12
2671798,26402,793164,242890.72727272726,11
2537871,45624,692366,230715.54545454544,11
2992825,125276,1020727,374103.125,8
3366212,27071,1270197,280517.6666666667,12
2781823,46700,918562,231818.58333333334,12
5267019,25088,1213505,229000.8260869565,23
8664918,31590,2343110,666532.1538461539,13
7316589,26429,1445096,385083.63157894736,19
1966899,35991,634716,196689.9,10
5739128,27712,1046089,302059.36842105264,19
6041292,36419,1235804,355370.1176470588,17
9128338,82002,1854740,536961.0588235294,17
6929761,26518,1341460,364724.2631578947,19
10155666,31957,1661481,376135.77777777775,27
6463655,25938,1485555,340192.36842105264,19
7923406,31658,1642758,360154.8181818182,22
9216091,37820,911664,297293.2580645161,31
5673766,28003,1308302,333750.9411764706,17
8856010,28630,1190259,340615.76923076925,26
6928031,30827,856916,266462.73076923075,26
9324943,48582,2303232,444044.90476190473,21
10630611,28749,1267869,366572.7931034483,29
9928207,35713,2067042,431661.17391304346,23
6109071,39501,764493,339392.8333333333,18
9611993,33237,1516346,400499.7083333333,24
7644996,30722,1187498,273035.5714285714,28
13191978,32798,1512360,412249.3125,32
7337924,31142,882316,293516.96,25
6712011,27175,902669,239714.67857142858,28
5689995,25198,647884,258636.13636363635,22
4170864,25344,834477,219519.15789473685,19
5983576,27187,939252,260155.47826086957,23
504762,33931,159171,84127.0,6
269197,269197,269197,269197.0,1
